šifra,naziv,grupa,kolicina,nabavna_cijena,marza,cijena,rabat
5889,MEANIT ZVUČNIK S9 BIJELI,MOBITELI,0,0.00,0.00,99.00,0.00
5890,MEANIT AUTO NOSAČ SMART. EKSKLUZIV,MOBITELI,1,59.00,102.03,149.00,0.00
5891,SONY XS-F1027SE ZVUČNICI,AUDIOVIDEO PROGRAM,1,143.20,32.35,199.00,16.00
5892,PIONEER X-DS301-K RADIO SAT,AUDIOVIDEO PROGRAM,0,345.02,0.00,599.00,0.00
5893,PIONEER SE-CL07  SLUŠALICE,AUDIOVIDEO PROGRAM,0,55.44,0.00,99.00,0.00
5894,PIONEER AVH-X1500DVD,AUDIOVIDEO PROGRAM,1,1839.20,44.93,2499.00,25.00
5895,JVC CS-V627U,AUDIOVIDEO PROGRAM,2,215.20,65.90,299.00,33.00
5896,JVC CS-V517,AUDIOVIDEO PROGRAM,2,151.19,96.64,249.00,33.00
5897,ADIDAS EURO LOPTA,AUDIOVIDEO PROGRAM,0,125.00,0.00,219.00,0.00
5898,PIONEER X-CM31-K,AUDIOVIDEO PROGRAM,0,863.42,0.00,1599.00,0.00
5900,BOSCH HCE743350E,AUDIOVIDEO PROGRAM,1,3600.00,21.89,4999.00,8.86
5901,LG XC102 MICRO LINIJA,AUDIOVIDEO PROGRAM,1,480.00,33.17,799.00,0.00
5902,PANASONIC SL. RP-HJE125 RAZNE BOJE,AUDIOVIDEO PROGRAM,3,79.20,37.63,109.00,20.00
5903,COLIN MCRAE DIRT PC IGRA,PC,1,33.00,57.58,65.00,0.00
5904,WALL-E PC IGRICA,PC,1,33.00,57.58,65.00,0.00
5905,JCB Dx2 4000 mAh RECHARGEABLE,BATERIJA,2,95.20,82.07,130.00,40.00
5906,OVERLORD PC IGRICA,PC,1,13.00,78.46,29.00,0.00
5907,MSI UNIVERZALNI ADAPTER ZA LAPTOP 90 W,PC,1,79.00,121.77,219.00,0.00
5908,MEANIT DUAL SIM MOBITEL CRNO-CRVENI,MOBITELI,2,109.00,60.73,219.00,0.00
5909,MEANIT DUAL SIM MOBITEL CRNO-PLAVI,MOBITELI,2,109.00,60.73,219.00,0.00
5910,VIPME HTC DESIRE C BIJELI,VIP,0,0.00,0.00,1399.00,0.00
5911,VIPME HUAWEI ASCEND Y200,VIP,1,648.43,10.91,899.00,0.00
5912,VIPME NOKIA 300 BLACK,VIP,1,490.82,13.93,699.00,0.00
5913,VIPME SAMSUNG GALAXY Y5360 WHITE,VIP,0,648.42,0.00,899.00,0.00
5914,NOKIA ASHA 202 DUAL SIM,MOBITELI,1,479.20,44.07,699.00,19.00
5915,NOKIA ASHA 305 SIVA,MOBITELI,1,519.20,51.99,799.00,19.00
5916,SAMSUNG RS7577THCSP/EF SILVER SYDE BY SYDE,BIJELA TEHNIKA,1,7551.00,16.53,10999.00,0.00
5917,SAMSUNG EC-ES90 SREBRNI,FOTO,1,390.00,43.39,699.00,0.00
5918,OLYMPUS VH-210 BIJELI,AUDIOVIDEO PROGRAM,1,320.00,49.75,599.00,0.00
5919,"ASUS VIVOBOOK 10,1""",PC,1,2367.83,35.11,3999.00,0.00
5920,TOSHIBA JOURNE M400 EU,PC,1,799.00,22.26,1099.00,10.00
